Name,RT,Volume,Log P,Anchor,prefix,suffix,a,b,c,prefix_d,prefix_e,prefix_f,sugar_count,classification,outlier_reason,regression_group,priority_series,regression_r_squared,regression_equation,regression_p_value
GD1+HexNAc(35:1;O2),8.223,31733,-1.16,F,GD1+HexNAc,(35:1;O2),35,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+HexNAc(36:1;O2),8.993,13472885,-0.62,T,GD1+HexNAc,(36:1;O2),36,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+HexNAc(36:2;O2),7.924,440026,-1.55,F,GD1+HexNAc,(36:2;O2),36,2,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+HexNAc(37:1;O2),9.788,216114,-0.08,F,GD1+HexNAc,(37:1;O2),37,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+HexNAc(38:0;O2),11.162,280009,0.98,F,GD1+HexNAc,(38:0;O2),38,0,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+HexNAc(38:1;O2),10.537,9729137,0.46,T,GD1+HexNAc,(38:1;O2),38,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+HexNAc(40:1;O2),12.017,221079,1.54,T,GD1+HexNAc,(40:1;O2),40,1,O2,G,D,1,7,outlier,OAc_rule_violation,GD1+HexNAc_c_O2,,0.9970,RT = 1.3747 * LogP + 9.8736,8.3928e-09
GD1+OAc(36:1;O2),9.75,2766762,2.1,F,GD1+OAc,(36:1;O2),36,1,O2,G,D,1,6,outlier,isomer_rule,GD1+OAc_bc_1_O2,,0.9934,RT = 1.2878 * LogP + 7.1742,3.3140e-03
GD1+OAc(36:1;O2),10.016,118264,2.1,F,GD1+OAc,(36:1;O2),36,1,O2,G,D,1,6,true,,GD1+OAc_bc_1_O2,,0.9934,RT = 1.2878 * LogP + 7.1742,3.3140e-03
GD1+OAc(36:2;O2),8.601,107316,1.16,F,GD1+OAc,(36:2;O2),36,2,O2,G,D,1,6,true,,,,,,
GD1+OAc(36:2;O2),8.451,32040,1.16,F,GD1+OAc,(36:2;O2),36,2,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1+OAc(38:1;O2),11.265,1831200,3.19,F,GD1+OAc,(38:1;O2),38,1,O2,G,D,1,6,true,,GD1+OAc_ac_38_O2,,1.0000,RT = 1.3158 * LogP + 7.0676,1.0000e+00
GD1+OAc(38:2;O2),10.015,37255,2.24,F,GD1+OAc,(38:2;O2),38,2,O2,G,D,1,6,outlier,sugar_count_rule,GD1+OAc_ac_38_O2,,1.0000,RT = 1.3158 * LogP + 7.0676,1.0000e+00
GD1+OAc(40:1;O2),12.682,92538,4.27,F,GD1+OAc,(40:1;O2),40,1,O2,G,D,1,6,true,,GD1+OAc_ac_40_O2,,1.0000,RT = -0.7958 * LogP + 16.0800,1.0000e+00
